"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
35,"INDOWIND","Indowind Energy Limited","INE227G01018","STASM - I (11)"
36,"INSPIRISYS","Inspirisys Solutions Limited","INE020G01017","STASM - I (11)"
37,"JINDALPOLY","Jindal Poly Films Limited","INE197D01010","STASM - I (11)"
38,"JKPAPER","JK Paper Limited","INE789E01012","STASM - I (11)"
39,"JNKINDIA","JNK India Limited","INE0OAF01028","STASM - I (11)"
40,"K2INFRA","K2 Infragen Limited","INE0DEZ01013","STASM - I (11)"
41,"KAYA","Kaya Limited","INE587G01015","STASM - I (11)"
42,"KCEIL","Kay Cee Energy & Infra Limited","INE0RCG01017","STASM - I (11)"
43,"KDL","Kore Digital Limited","INE0O4R01018","STASM - I (11)"
44,"KELLTONTEC","Kellton Tech Solutions Limited","INE164B01022","STASM - I (11)"
45,"KEYFINSERV","Keynote Financial Services Limited","INE681C01015","STASM - I (11)"
46,"KNAGRI","KN Agri Resources Limited","INE0KNW01016","STASM - I (11)"
47,"KRISHCA","Krishca Strapping Solutions Limited","INE0NR701018","STASM - I (11)"
48,"KRISHNADEF","Krishna Defence and Allied Industries Limited","INE0J5601015","STASM - II (12)"
49,"MALLCOM","Mallcom (India) Limited","INE389C01015","STASM - I (11)"
50,"MARATHON","Marathon Nextgen Realty Limited","INE182D01020","STASM - I (11)"
51,"MASON","Mason Infratech Limited","INE0SH001010","STASM - I (11)"
52,"MBLINFRA","MBL Infrastructure Limited","INE912H01013","STASM - I (11)"
53,"MCON","Mcon Rasayan India Limited","INE0O4M01019","STASM - II (12)"
54,"MILTON","Milton Industries Limited","INE376Y01016","STASM - I (11)"
55,"MOS","Mos Utility Limited","INE0N7S01010","STASM - I (11)"
56,"MUKKA","Mukka Proteins Limited","INE0CG401037","STASM - I (11)"
57,"NAHARPOLY","Nahar Poly Films Limited","INE308A01027","STASM - I (11)"
58,"NEWJAISA","Newjaisa Technologies Limited","INE0PW501021","STASM - I (11)"
59,"NIRMAN","Nirman Agri Genetics Limited","INE0OK701014","STASM - II (12)"
60,"OLIL","Oneclick Logistics India Limited","INE0OPS01011","STASM - I (11)"
61,"OMAXE","Omaxe Limited","INE800H01010","STASM - I (11)"
62,"ONDOOR","On Door Concepts Limited","INE00ER01015","STASM - I (11)"
63,"OPTIEMUS","Optiemus Infracom Limited","INE350C01017","STASM - I (11)"
64,"PASHUPATI","Pashupati Cotspin Limited","INE124Y01010","STASM - I (11)"
65,"PCJEWELLER","PC Jeweller Limited","INE785M01013","STASM - I (11)"
66,"PFOCUS","Prime Focus Limited","INE367G01038","STASM - I (11)"
67,"PNBGILTS","PNB Gilts Limited","INE859A01011","STASM - I (11)"
68,"RANEHOLDIN","Rane Holdings Limited","INE384A01010","STASM - I (11)"
69,"REFEX","Refex Industries Limited","INE056I01025","STASM - I (11)"
70,"REFRACTORY","Refractory Shapes Limited","INE0TNX01015","STASM - II (12)"
71,"RETAIL","JHS Svendgaard Retail Ventures Limited","INE03DD01011","STASM - I (11)"
72,"RILINFRA","Rachana Infrastructure Limited","INE02OY01016","STASM - I (11)"
73,"ROTO","Roto Pumps Limited","INE535D01029","STASM - I (11)"
74,"RULKA","Rulka Electricals Limited","INE0R7301013","STASM - I (11)"
75,"SAAKSHI","Saakshi Medtech and Panels Limited","INE0PSK01027","STASM - I (11)"
76,"SABAR","Sabar Flex India Limited","INE0DZ101013","STASM - I (11)"
77,"SADHNANIQ","Sadhana Nitrochem Limited","INE888C01040","STASM - I (11)"
78,"SLONE","Slone Infosystems Limited","INE0SMA01017","STASM - I (11)"
79,"SOLARA","Solara Active Pharma Sciences Limited","INE624Z01016","STASM - I (11)"
80,"SONAMAC","Sona Machinery Limited","INE0Q6H01012","STASM - I (11)"
81,"SONUINFRA","Sonu Infratech Limited","INE0JZA01018","STASM - I (11)"
82,"SOTAC","Sotac Pharmaceuticals Limited","INE0O2D01012","STASM - I (11)"
83,"SUPREMEPWR","Supreme Power Equipment Limited","INE0QHG01026","STASM - II (12)"
84,"SURAJEST","Suraj Estate Developers Limited","INE843S01025","STASM - I (11)"
85,"SUVEN","Suven Life Sciences Limited","INE495B01038","STASM - I (11)"
86,"SWARAJ","Swaraj Suiting Limited","INE0GMR01016","STASM - I (11)"
87,"SYLVANPLY","Sylvan Plyboard (India) Limited","INE01IH01015","STASM - I (11)"
88,"TAC","TAC Infosec Limited","INE0SOY01013","STASM - I (11)"
89,"TBI","TBI Corn Limited","INE0N2D01013","STASM - I (11)"
90,"TCLCONS","Tantia Constructions Limited","INE388G01026","STASM - I (11)"
91,"TGL","Teerth Gopicon Limited","INE0K6601012","STASM - I (11)"
92,"TIMESCAN","Timescan Logistics (India) Limited","INE0IJY01014","STASM - I (11)"
93,"TIRUPATI","Shree Tirupati Balajee FIBC Limited","INE238Y01018","STASM - I (11)"
94,"TITAGARH","TITAGARH RAIL SYSTEMS LIMITED","INE615H01020","STASM - I (11)"
95,"UMA","Uma Converter Limited","INE067901012","STASM - I (11)"
96,"VASWANI","Vaswani Industries Limited","INE590L01019","STASM - I (11)"
97,"VERANDA","Veranda Learning Solutions Limited","INE0IQ001011","STASM - I (11)"
98,"VISHNU","Vishnu Chemicals Limited","INE270I01022","STASM - I (11)"
99,"VISHNUINFR","Vishnusurya Projects and Infra Limited","INE0PQ001012","STASM - I (11)"
100,"VIVIANA","Viviana Power Tech Limited","INE0MEG01014","STASM - II (12)"
101,"WINNY","Winny Immigration & Education Services Limited","INE0S9101013","STASM - I (11)"
102,"WINSOL","Winsol Engineers Limited","INE0S3D01016","STASM - I (11)"
103,"WOMANCART","Womancart Limited","INE0Q9601016","STASM - I (11)"
104,"ZENTEC","Zen Technologies Limited","INE251B01027","STASM - I (11)"
105,"ZTECH","Z-Tech (India) Limited","INE0ISZ01012","STASM - I (11)"
