"SR. NO 
","EFFECTIVE DATE 
","SYMBOL 
","SECURITY NAME 
","FROM 
","TO 
"
180,"03-JUL-2024","GILLANDERS","GILLANDERS ARBUTHNOT & COMPANY LIMITED","10","5"
181,"03-JUL-2024","BURNPUR","BURNPUR CEMENT LIMITED","10","5"
182,"03-JUL-2024","ALPSINDUS","ALPS INDUSTRIES LIMITED","5","2"
183,"03-JUL-2024","AAKASH","AAKASH EXPLORATION SERVICES LIMITED","10","5"
184,"02-JUL-2024","SWARAJ","SWARAJ SUITING LIMITED","10","5"
185,"02-JUL-2024","SOLARAPP","SOLARA ACTIVE PHARMA SCIENCES LIMITED","10","5"
186,"02-JUL-2024","SOLARA","SOLARA ACTIVE PHARMA SCIENCES LIMITED","10","5"
187,"02-JUL-2024","GRPLTD","GRP LIMITED","20","10"
188,"02-JUL-2024","EXICOM","EXICOM TELE-SYSTEMS LIMITED","20","10"
189,"02-JUL-2024","BBOX","BLACK BOX LIMITED","20","10"
190,"01-JUL-2024","WOCKPHARMA","WOCKHARDT LIMITED","5","20"
191,"01-JUL-2024","WEIZMANIND","WEIZMANN LIMITED","20","5"
192,"01-JUL-2024","VIVIDHA","VISAGAR POLYTEX LIMITED","2","5"
193,"01-JUL-2024","VASWANI","VASWANI INDUSTRIES LIMITED","2","5"
194,"01-JUL-2024","TRIGYN","TRIGYN TECHNOLOGIES LIMITED","20","5"
195,"01-JUL-2024","TATAINVEST","TATA INVESTMENT CORPORATION LIMITED","5","20"
196,"01-JUL-2024","SUPREMEINF","SUPREME INFRASTRUCTURE INDIA LIMITED","2","5"
197,"01-JUL-2024","SHREERAMA","SHREE RAMA MULTI-TECH LIMITED","2","5"
198,"01-JUL-2024","SECURKLOUD","SECUREKLOUD TECHNOLOGIES LIMITED","2","5"
199,"01-JUL-2024","RAJMET","RAJNANDINI METAL LIMITED","5","10"
200,"01-JUL-2024","PRAKASHSTL","PRAKASH STEELAGE LIMITED","2","5"
201,"01-JUL-2024","OCCL","ORIENTAL CARBON & CHEMICALS LIMITED","20","5"
202,"01-JUL-2024","NARMADA","NARMADA AGROBASE LIMITED","2","5"
203,"01-JUL-2024","MOKSH","MOKSH ORNAMENTS LIMITED","2","5"
204,"01-JUL-2024","MKPL","M K PROTEINS LIMITED","2","5"
205,"01-JUL-2024","MELSTAR","MELSTAR INFORMATION TECHNOLOGIES LIMITED","2","5"
206,"01-JUL-2024","MANAKSTEEL","MANAKSIA STEELS LIMITED","2","5"
207,"01-JUL-2024","MALUPAPER","MALU PAPER MILLS LIMITED","2","5"
208,"01-JUL-2024","MADHAV","MADHAV MARBLES AND GRANITES LIMITED","2","5"
209,"01-JUL-2024","LATTEYS","LATTEYS INDUSTRIES LIMITED","2","5"
210,"01-JUL-2024","KSHITI-RE","KSHITIJ POLYLINE LTD-RE","40","20"
211,"01-JUL-2024","KRISHCA","KRISHCA STRAPPING SOLUTIONS LIMITED","20","10"
